PSO,GA,Hybrid_PSO_GA
1.5001,1.5001,1.5001012041089143
1.5001,1.500100002746606,1.5005487725114444
1.5001,1.5001,1.5001
1.5001,1.5001000000580182,1.5001
1.5001,1.5001000097020807,1.5001
1.5001,1.5001,1.5001
1.5001,1.5001,1.5001326424454091
1.5001,1.5001000000518132,1.5001
1.5001,1.5001,1.5001136554432242
1.5001,1.5001,1.5001
1.5001,1.5001000043877286,1.5001102470033234
1.5001,1.5001,1.5001
1.5001,1.5001000043501984,1.5001000055075637
1.5001,1.5001,1.5001556662099633
1.5001,1.5001000000179787,1.5001110554554802
1.5001,1.5001001367467692,1.5001
1.5001,1.5001,1.5001
1.5001,1.500100003762426,1.5001
1.5001,1.5001,1.5001028154859175
1.5001,1.5001,1.50010434191847
1.5001,1.5001000010405443,1.5001015671285889
1.5001,1.5001000004322549,1.5001003823103858
1.5001,1.500100021126502,1.5001
1.5001,1.500100000078549,1.5001
1.5001,1.500100001944079,1.500111789411945
1.5001,1.5001,1.5001019916482623
1.5001,1.500100001135194,1.5001
1.5001,1.5001,1.5001
1.5001,1.5001,1.5001748143819058
1.5001,1.5001,1.5001
